code,name,level
12805001,Aglipay (Pob.),Bgy
12805002,Baay,Bgy
12805003,Baligat,Bgy
12805004,Bungon,Bgy
12805005,Baoa East,Bgy
12805006,Baoa West,Bgy
12805007,Barani (Pob.),Bgy
12805009,Ben-agan (Pob.),Bgy
12805010,Bil-loca,Bgy
12805011,Biningan,Bgy
12805012,Callaguip (Pob.),Bgy
12805013,Camandingan,Bgy
12805014,Camguidan,Bgy
12805015,Cangrunaan (Pob.),Bgy
12805016,Capacuan,Bgy
12805017,Caunayan (Pob.),Bgy
12805018,Valdez Pob. (Caoayan),Bgy
12805019,Colo,Bgy
12805020,Pimentel (Cubol),Bgy
12805021,Dariwdiw,Bgy
12805022,Acosta Pob. (Iloilo),Bgy
12805023,Ablan Pob. (Labucao),Bgy
12805024,Lacub (Pob.),Bgy
12805025,Mabaleng,Bgy
12805026,Magnuang,Bgy
12805027,Maipalig,Bgy
12805028,Nagbacalan,Bgy
12805029,Naguirangan,Bgy
12805030,Ricarte Pob. (Nalasin),Bgy
12805031,Palongpong,Bgy
12805032,Palpalicong (Pob.),Bgy
12805033,Parangopong,Bgy
12805034,Payao,Bgy
12805035,Quiling Norte,Bgy
12805036,Quiling Sur,Bgy
12805037,Quiom,Bgy
12805038,Rayuray,Bgy
12805039,San Julian (Pob.),Bgy
12805040,San Mateo,Bgy
12805041,San Pedro,Bgy
12805042,Suabit (Pob.),Bgy
12805043,Sumader,Bgy
12805044,Tabug,Bgy
12806000,BURGOS,Mun
12806001,Ablan Sarat,Bgy
12806002,Agaga,Bgy
12806005,Bayog,Bgy
12806006,Bobon,Bgy
12806007,Buduan (Malituek),Bgy
12806008,Nagsurot,Bgy
12806009,Paayas,Bgy
12806010,Pagali,Bgy
12806011,Poblacion,Bgy
12806013,Saoit,Bgy
12806014,Tanap,Bgy
12807000,CARASI,Mun
12807001,Angset,Bgy
12807003,Barbaqueso (Pob.),Bgy
12807004,Virbira,Bgy
12808000,CURRIMAO,Mun
12808001,Anggapang Norte,Bgy
12808002,Anggapang Sur,Bgy
12808003,Bimmanga,Bgy
12808004,Cabuusan,Bgy
12808005,Comcomloong,Bgy
12808006,Gaang,Bgy
12808007,Lang-ayan-Baramban,Bgy
12808008,Lioes,Bgy
12808009,Maglaoi Centro,Bgy
12808010,Maglaoi Norte,Bgy
12808011,Maglaoi Sur,Bgy
12808013,Paguludan-Salindeg,Bgy
12808014,Pangil,Bgy
12808015,Pias Norte,Bgy
12808016,Pias Sur,Bgy
12808017,Poblacion I,Bgy
12808018,Poblacion II,Bgy
12808019,Salugan,Bgy
12808020,San Simeon,Bgy
12808021,Santa Cruz,Bgy
12808022,Tapao-Tigue,Bgy
12808023,Torre,Bgy
12808024,Victoria,Bgy
12809000,DINGRAS,Mun
12809001,Albano (Pob.),Bgy
12809002,Bacsil,Bgy
12809003,Bagut,Bgy
12809004,Parado (Bangay),Bgy
12809005,Baresbes,Bgy
12809006,Barong,Bgy
12809007,Bungcag,Bgy
12809009,Cali,Bgy
12809010,Capasan,Bgy
12809011,Dancel (Pob.),Bgy
12809012,Foz,Bgy
12809013,Guerrero (Pob.),Bgy
12809014,Lanas,Bgy
12809015,Lumbad,Bgy
12809016,Madamba (Pob.),Bgy
12809017,Mandaloque,Bgy
12809018,Medina,Bgy
12809019,Ver (Naglayaan),Bgy
12809020,San Marcelino (Padong),Bgy
12809021,Puruganan (Pob.),Bgy
12809022,Peralta (Pob.),Bgy
12809023,Root (Baldias),Bgy
12809024,Sagpatan,Bgy
12809025,Saludares,Bgy
12809026,San Esteban,Bgy
12809027,Espiritu,Bgy
12809028,Sulquiano (Sidiran),Bgy
12809029,San Francisco (Surrate),Bgy
12809030,Suyo,Bgy
12809031,San Marcos,Bgy
12809032,Elizabeth,Bgy
12810000,DUMALNEG,Mun
12810001,Dumalneg,Bgy
12810002,San Isidro,Bgy
12811000,BANNA (ESPIRITU),Mun
12811001,Balioeg,Bgy
12811002,Bangsar,Bgy
12811003,Barbarangay,Bgy
12811004,Bomitog,Bgy
12811005,Bugasi,Bgy
12811006,Caestebanan,Bgy
12811008,Caribquib,Bgy
12811009,Catagtaguen,Bgy
12811011,Crispina,Bgy
12811012,Hilario (Pob.),Bgy
12811013,Imelda,Bgy
12811014,Lorenzo (Pob.),Bgy
12811015,Macayepyep,Bgy
12811016,Marcos (Pob.),Bgy
12811017,Nagpatayan,Bgy
12811018,Valdez,Bgy
12811019,Sinamar,Bgy
12811020,Tabtabagan,Bgy
12811021,Valenciano (Pob.),Bgy
12811022,Binacag,Bgy
12812000,LAOAG CITY (Capital),City
12812001,"Bgy. No. 42, Apaya",Bgy
12812002,"Bgy. No. 36, Araniw",Bgy
12812003,"Bgy. No. 56-A, Bacsil North",Bgy
12812004,"Bgy. No. 56-B, Bacsil South",Bgy
12812005,"Bgy. No. 41, Balacad",Bgy
12812006,"Bgy. No. 40, Balatong",Bgy
12812007,"Bgy. No. 55-A, Barit-Pandan",Bgy
12812008,"Bgy. No. 47, Bengcag",Bgy
12812009,"Bgy. No. 50, Buttong",Bgy
12812010,"Bgy. No. 60-A, Caaoacan",Bgy
12812011,"Bry. No. 48-A, Cabungaan North",Bgy
12812012,"Bgy. No. 48-B, Cabungaan South",Bgy
12812013,"Bgy. No. 37, Calayab",Bgy
12812014,"Bgy. No. 54-B, Camangaan",Bgy
12812015,"Bgy. No. 58, Casili",Bgy
12812016,"Bgy. No. 61, Cataban",Bgy
12812017,"Bgy. No. 43, Cavit",Bgy
12812019,"Bgy. No. 49-A, Darayday",Bgy
12812020,"Bgy. No. 59-B, Dibua North",Bgy
12812021,"Bgy. No. 59-A, Dibua South",Bgy
12812022,"Bgy. No. 34-B, Gabu Norte East",Bgy
12812023,"Bgy. No. 34-A, Gabu Norte West",Bgy
12812024,"Bgy. No. 35, Gabu Sur",Bgy
12812026,Bgy. No. 32-C La Paz East,Bgy
12812027,"Bgy. No. 33-B, La Paz Proper",Bgy
12812028,"Bgy. No. 32-B, La Paz West",Bgy
12812029,"Bgy. No. 54-A, Lagui-Sail",Bgy
12812030,"Bgy. No. 32-A, La Paz East",Bgy
12812031,"Bgy. No. 33-A, La Paz Proper",Bgy
12812032,"Bgy. No. 52-B, Lataag",Bgy
12812033,"Bgy. No. 60-B, Madiladig",Bgy
12812034,"Bgy. No. 38-A, Mangato East",Bgy
12812035,"Bgy. No. 38-B, Mangato West",Bgy
12812036,"Bgy. No. 62-A, Navotas North",Bgy
12812037,"Bgy. No. 62-B, Navotas South",Bgy
12812038,"Bgy. No. 46, Nalbo",Bgy
12812039,"Bgy. No. 51-A, Nangalisan East",Bgy
12812040,"Bgy. No. 51-B, Nangalisan West",Bgy
12812041,"Bgy. No. 24, Nstra. Sra. De Consolacion (Pob.)",Bgy
12812042,"Bgy. No. 7-A, Nstra. Sra. De Natividad (Pob.)",Bgy
12812043,"Bgy. No. 7-B, Nstra. Sra. De Natividad (Pob.)",Bgy
12812044,"Bgy. No. 27, Nstra. Sra. De Soledad (Pob.)",Bgy
12812045,"Bgy. No. 13, Nstra. Sra. De Visitacion (Pob.)",Bgy
12812046,"Bgy. No. 3, Nstra. Sra. Del Rosario (Pob.)",Bgy
12812047,"Bgy. No. 57, Pila",Bgy
12812048,"Bgy. No. 49-B, Raraburan",Bgy
12812049,"Bgy. No. 53, Rioeng",Bgy
12812050,"Bgy. No. 55-B, Salet-Bulangon",Bgy
12812053,"Bgy. No. 6, San Agustin (Pob.)",Bgy
12812054,"Bgy. No. 22, San Andres (Pob.)",Bgy
12812055,"Bgy. No. 28, San Bernardo (Pob.)",Bgy
12812056,"Bgy. No. 17, San Francisco (Pob.)",Bgy
12812057,"Bgy. No. 4, San Guillermo (Pob.)",Bgy
12812058,"Bgy. No. 15, San Guillermo (Pob.)",Bgy
12812059,"Bgy. No. 12, San Isidro (Pob.)",Bgy
12812060,"Bgy. No. 16, San Jacinto (Pob.)",Bgy
12812061,"Bgy. No. 10, San Jose (Pob.)",Bgy
12812062,"Bgy. No. 1, San Lorenzo (Pob.)",Bgy
12812063,"Bgy. No. 26, San Marcelino (Pob.)",Bgy
12812064,"Bgy. No. 52-A, San Mateo",Bgy
12812065,"Bgy. No. 23, San Matias (Pob.)",Bgy
12812066,"Bgy. No. 20, San Miguel (Pob.)",Bgy
12812067,"Bgy. No. 21, San Pedro (Pob.)",Bgy
12812068,"Bgy. No. 5, San Pedro (Pob.)",Bgy
12812069,"Bry. No. 18, San Quirino (Pob.)",Bgy
12812070,"Bgy. No. 8, San Vicente (Pob.)",Bgy
12812071,"Bgy. No. 9, Santa Angela (Pob.)",Bgy
12812072,"Bgy. No. 11, Santa Balbina (Pob.)",Bgy
12812073,"Bgy. No. 25, Santa Cayetana (Pob.)",Bgy
12812074,"Bgy. No. 2, Santa Joaquina (Pob.)",Bgy
12812075,"Bgy. No. 19, Santa Marcela (Pob.)",Bgy
12812076,"Bgy. No. 30-B, Santa Maria",Bgy
12812077,"Bgy. No. 39, Santa Rosa",Bgy
12812078,"Bgy. No. 14, Santo Tomas (Pob.)",Bgy
12812079,"Bgy. No. 29, Santo Tomas (Pob.)",Bgy
12812080,"Bgy. No. 30-A, Suyo",Bgy
12812081,"Bgy. No. 31, Talingaan",Bgy
12812082,"Bgy. No. 45, Tangid",Bgy
12812083,"Bgy. No. 55-C, Vira",Bgy
12812084,"Bgy. No. 44, Zamboanga",Bgy
12813000,MARCOS,Mun
12813001,Pacifico (Agunit),Bgy
12813003,Imelda (Capariaan),Bgy
12813004,Elizabeth (Culao),Bgy
12813005,Daquioag,Bgy
12813006,Escoda,Bgy
12813007,Ferdinand,Bgy
12813008,Fortuna,Bgy
12813009,Lydia (Pob.),Bgy
12813010,Mabuti,Bgy
12813011,Valdez (Biding),Bgy
12813012,Tabucbuc (Ragas),Bgy
12813013,Santiago,Bgy
12813014,Cacafean,Bgy
12814000,NUEVA ERA,Mun
12814001,Acnam,Bgy
12814002,Barangobong,Bgy
12814003,Barikir,Bgy
12814004,Bugayong,Bgy
12814005,Cabittauran,Bgy
12814006,Caray,Bgy
12814007,Garnaden,Bgy
12814008,Naguillan (Pagpag-ong),Bgy
12814009,Poblacion,Bgy
12814010,Santo Ni_o,Bgy
12814011,Uguis,Bgy
12815000,PAGUDPUD,Mun
12815001,Aggasi,Bgy
12815003,Baduang,Bgy
12815004,Balaoi,Bgy
12815005,Burayoc,Bgy
12815006,Caunayan,Bgy
12815007,Dampig,Bgy
12815008,Ligaya,Bgy
12815010,Pancian,Bgy
12815011,Pasaleng,Bgy
12815012,Poblacion 1,Bgy
12815013,Poblacion 2,Bgy
12815014,Saguigui,Bgy
12815015,Saud,Bgy
12815016,Subec,Bgy
12815017,Tarrag,Bgy
12815018,Caparispisan,Bgy
12816000,PAOAY,Mun
12816001,Bacsil,Bgy
12816002,Cabagoan,Bgy
12816003,Cabangaran,Bgy
12816004,Callaguip,Bgy
12816005,Cayubog,Bgy
12816006,Dolores,Bgy
12816007,Laoa,Bgy
12816008,Masintoc,Bgy
12816009,Monte,Bgy
12816010,Mumulaan,Bgy
12816011,Nagbacalan,Bgy
12816012,Nalasin,Bgy
12816013,Nanguyudan,Bgy
12816014,Oaig-Upay-Abulao,Bgy
12816015,Pambaran,Bgy
12816016,Pannaratan (Pob.),Bgy
12816017,Paratong,Bgy
12816018,Pasil,Bgy
12816019,Salbang (Pob.),Bgy
12816020,San Agustin,Bgy
12816021,San Blas (Pob.),Bgy
12816022,San Juan,Bgy
12816025,San Pedro,Bgy
12816028,San Roque (Pob.),Bgy
12816029,Sangladan Pob. (Nalbuan),Bgy
12816030,Santa Rita (Pob.),Bgy
12816031,Sideg,Bgy
12816032,Suba,Bgy
12816033,Sungadan,Bgy
12816034,Surgui,Bgy
12816035,Veronica,Bgy
12817000,PASUQUIN,Mun
12817001,Batuli,Bgy
12817002,Binsang,Bgy
12817003,Nalvo (Cababaan-Nalvo),Bgy
12817004,Caruan,Bgy
12817005,Carusikis,Bgy
12817006,Carusipan,Bgy
12817007,Dadaeman,Bgy
12817008,Darupidip,Bgy
12817009,Davila,Bgy
12817010,Dilanis,Bgy
12817011,Dilavo,Bgy
12817012,Estancia,Bgy
12817014,Naglicuan,Bgy
12817015,Nagsanga,Bgy
12817016,Ngabangab,Bgy
12817017,Pangil,Bgy
12817018,Poblacion 1,Bgy
12817019,Poblacion 2,Bgy
12817020,Poblacion 3,Bgy
12817021,Poblacion 4,Bgy
12817022,Pragata (Pragata-Bungro),Bgy
12817023,Puyupuyan,Bgy
12817024,Sulongan,Bgy
12817025,Salpad,Bgy
12817026,San Juan,Bgy
12817027,Santa Catalina,Bgy
12817028,Santa Matilde,Bgy
12817029,Sapat,Bgy
12817030,Sulbec,Bgy
12817031,Surong,Bgy
12817032,Susugaen,Bgy
12817033,Tabungao,Bgy
12817034,Tadao,Bgy
12818000,PIDDIG,Mun
12818001,Ab-abut,Bgy
12818002,Abucay,Bgy
12818003,Anao (Pob.),Bgy
12818004,Arua-ay,Bgy
12818005,Bimmanga,Bgy
12818006,Boyboy,Bgy
12818007,Cabaroan (Pob.),Bgy
12818008,Calambeg,Bgy
12818009,Callusa,Bgy
12818010,Dupitac,Bgy
12818011,Estancia,Bgy
12818012,Gayamat,Bgy
12818013,Lagandit,Bgy
12818014,Libnaoan,Bgy
12818015,Loing (Pob.),Bgy
12818016,Maab-abaca,Bgy
12818017,Mangitayag,Bgy
12818018,Maruaya,Bgy
12818019,San Antonio,Bgy
12818020,Santa Maria,Bgy
12818021,Sucsuquen,Bgy
12818022,Tangaoan,Bgy
12818023,Tonoton,Bgy
12819000,PINILI,Mun
12819001,Aglipay,Bgy
12819002,Apatut-Lubong,Bgy
12819003,Badio,Bgy
12819004,Barbar,Bgy
12819005,Buanga,Bgy
12819006,Bulbulala,Bgy
12819007,Bungro,Bgy
12819008,Cabaroan,Bgy
12819009,Capangdanan,Bgy
12819010,Dalayap,Bgy
12819011,Darat,Bgy
12819012,Gulpeng,Bgy
12819013,Liliputen,Bgy
12819014,Lumbaan-Bicbica,Bgy
12819015,Nagtrigoan,Bgy
12819016,Pagdilao (Pob.),Bgy
12819017,Pugaoan,Bgy
12819018,Puritac,Bgy
12819019,Sacritan,Bgy
12819020,Salanap,Bgy
12819021,Santo Tomas,Bgy
12819022,Tartarabang,Bgy
12819023,Puzol,Bgy
12819024,Upon,Bgy
12819025,Valbuena (Pob.),Bgy
12820000,SAN NICOLAS,Mun
12820001,San Francisco (Pob.),Bgy
12820002,San Ildefonso (Pob.),Bgy
12820003,San Agustin,Bgy
12820004,San Baltazar (Pob.),Bgy
12820005,San Bartolome (Pob.),Bgy
12820006,San Cayetano (Pob.),Bgy
12820007,San Eugenio (Pob.),Bgy
12820008,San Fernando (Pob.),Bgy
12820009,San Gregorio (Pob.),Bgy
12820010,San Guillermo,Bgy
12820011,San Jose (Pob.),Bgy
12820012,San Juan Bautista (Pob.),Bgy
12820013,San Lorenzo,Bgy
12820014,San Lucas (Pob.),Bgy
12820015,San Marcos (Payas),Bgy
12820016,San Miguel (Pob.),Bgy
12820017,San Pablo,Bgy
12820018,San Paulo (Pob.),Bgy
12820019,San Pedro (Bingao),Bgy
12820020,San Rufino (Pob.),Bgy
12820021,San Silvestre (Pob.),Bgy
12820022,Santa Asuncion (Samac),Bgy
12820023,Santa Cecilia (Barabar),Bgy
12820024,Santa Monica (Nagrebcan),Bgy
12821000,SARRAT,Mun
12821001,San Agustin (Pob.),Bgy
12821002,San Andres,Bgy
12821003,San Antonio,Bgy
12821004,San Bernabe,Bgy
12821005,San Cristobal,Bgy
12821006,San Felipe,Bgy
12821007,San Francisco (Pob.),Bgy
12821008,San Isidro,Bgy
12821009,San Joaquin (Pob.),Bgy
12821010,San Jose,Bgy
12821011,San Juan,Bgy
12821012,San Leandro (Pob.),Bgy
12821014,San Lorenzo,Bgy
12821015,San Manuel,Bgy
12821016,San Marcos,Bgy
12821017,San Nicolas,Bgy
12821018,San Pedro,Bgy
12821019,San Roque,Bgy
12821020,San Vicente (Pob.),Bgy
12821021,Santa Barbara (Pob.),Bgy
12821022,Santa Magdalena,Bgy
12821023,Santa Rosa,Bgy
12821024,Santo Santiago,Bgy
12821025,Santo Tomas,Bgy
12822000,SOLSONA,Mun
12822001,Aguitap,Bgy
12822002,Bagbag,Bgy
12822003,Bagbago,Bgy
12822004,Barcelona,Bgy
12822005,Bubuos,Bgy
12822006,Capurictan,Bgy
12822007,Catangraran,Bgy
12822008,Darasdas,Bgy
12822009,Juan (Pob.),Bgy
12822010,Laureta (Pob.),Bgy
12822011,Lipay,Bgy
12822012,Maananteng,Bgy
12822013,Manalpac,Bgy
12822014,Mariquet,Bgy
12822015,Nagpatpatan,Bgy
12822016,Nalasin,Bgy
12822017,Puttao,Bgy
12822018,San Juan,Bgy
12822019,San Julian,Bgy
12822020,Santa Ana,Bgy
12822021,Santiago,Bgy
12822022,Talugtog,Bgy
12823000,VINTAR,Mun
12823001,Abkir,Bgy
12823003,Alsem,Bgy
12823005,Bago,Bgy
12823010,Bulbulala,Bgy
12823011,Cabangaran,Bgy
12823012,Cabayo,Bgy
12823013,Cabisocolan,Bgy
12823014,Canaam,Bgy
12823015,Columbia,Bgy
12823016,Dagupan,Bgy
12823017,Pedro F. Alviar (Diaton),Bgy
12823019,Dipilat,Bgy
12823022,Esperanza,Bgy
12823023,Ester,Bgy
12823024,Isic Isic,Bgy
12823027,Lubnac,Bgy
12823028,Mabanbanag,Bgy
12823030,Alejo Malasig,Bgy
12823031,Manarang,Bgy
12823033,Margaay,Bgy
12823035,Namoroc,Bgy
12823038,Malampa (Peninaan-Malampa),Bgy
12823039,Parparoroc,Bgy
12823040,Parut,Bgy
12823047,Salsalamagui,Bgy
12823049,San Jose (Lipay),Bgy
12823050,San Nicolas (Pob.),Bgy
12823051,San Pedro (Pob.),Bgy
12823052,San Ramon (Pob.),Bgy
12823053,San Roque (Pob.),Bgy
12823054,Santa Maria (Pob.),Bgy
12823056,Tamdagan,Bgy
12823058,Visaya,Bgy
12900000,ILOCOS SUR,Prov
12901000,ALILEM,Mun
12901001,Alilem Daya (Pob.),Bgy
12901002,Amilongan,Bgy
12901003,Anaao,Bgy
12901004,Apang,Bgy
12901005,Apaya,Bgy
12901006,Batbato,Bgy
12901010,Daddaay,Bgy
12901011,Dalawa,Bgy
12901013,Kiat,Bgy
12902000,BANAYOYO,Mun
12902001,Bagbagotot,Bgy
12902002,Banbanaal,Bgy
12902004,Bisangol,Bgy
12902005,Cadanglaan,Bgy
12902006,Casilagan Norte,Bgy
12902007,Casilagan Sur,Bgy
12902008,Elefante,Bgy
12902009,Guardia,Bgy
12902010,Lintic,Bgy
12902011,Lopez,Bgy
12902012,Montero,Bgy
12902013,Naguimba,Bgy
12902014,Pila,Bgy
12902015,Poblacion,Bgy
12903000,BANTAY,Mun
12903001,Aggay,Bgy
12903002,An-annam,Bgy
12903003,Balaleng,Bgy
12903004,Banaoang,Bgy
12903005,Bulag,Bgy
12903006,Buquig,Bgy
12903007,Cabalanggan,Bgy
12903008,Cabaroan,Bgy
12903009,Cabusligan,Bgy
12903010,Capangdanan,Bgy
12903011,Guimod,Bgy
12903012,Lingsat,Bgy
12903013,Malingeb,Bgy
12903014,Mira,Bgy
12903015,Naguiddayan,Bgy
12903016,Ora,Bgy
12903017,Paing,Bgy
12903018,Puspus,Bgy
12903019,Quimmarayan,Bgy
12903020,Sagneb,Bgy
12903021,Sagpat,Bgy
12903022,San Mariano (Sallacong),Bgy
12903023,San Isidro,Bgy
12903024,San Julian,Bgy
12903026,Sinabaan,Bgy
12903027,Taguiporo,Bgy
12903028,Taleb,Bgy
12903029,Tay-ac,Bgy
12903030,Barangay 1 (Pob.),Bgy
12903031,Barangay 2 (Pob.),Bgy
12903032,Barangay 3 (Pob.),Bgy
12903033,Barangay 4 (Pob.),Bgy
12903034,Barangay 5 (Pob.),Bgy
12903035,Barangay 6 (Pob.),Bgy
12904000,BURGOS,Mun
12904001,Ambugat,Bgy
12904002,Balugang,Bgy
12904003,Bangbangar,Bgy
12904005,Bessang,Bgy
12904006,Cabcaburao,Bgy
12904007,Cadacad,Bgy
12904008,Callitong,Bgy
12904009,Dayanki,Bgy
12904010,Lesseb,Bgy
12904011,Lubing,Bgy
12904012,Lucaban,Bgy
12904013,Luna,Bgy
12904014,Macaoayan,Bgy
12904015,Mambug,Bgy
12904016,Manaboc,Bgy
12904017,Mapanit,Bgy
12904018,Poblacion Sur (Masingit),Bgy
12904019,Nagpanaoan,Bgy
12904020,Dirdirig (Dirdirig-Paday),Bgy
12904022,Paduros,Bgy
12904023,Patac,Bgy
12904024,Poblacion Norte (Bato),Bgy
12904026,Sabangan Pinggan,Bgy
12904027,Subadi Norte,Bgy
12904028,Subadi Sur,Bgy
12904029,Taliao,Bgy
12905000,CABUGAO,Mun
12905001,Alinaay,Bgy
12905002,Aragan,Bgy
12905003,Arnap,Bgy
12905004,Baclig (Pob.),Bgy
12905005,Bato,Bgy
12905006,Bonifacio (Pob.),Bgy
12905007,Bungro,Bgy
12905008,Cacadiran,Bgy
12905009,Caellayan,Bgy
12905010,Carusipan,Bgy
12905011,Catucdaan,Bgy
12905012,Cuancabal,Bgy
12905013,Cuantacla,Bgy
12905014,Daclapan,Bgy
12905015,Dardarat,Bgy
12905016,Lipit,Bgy
12905017,Maradodon,Bgy
12905018,Margaay,Bgy
12905019,Nagsantaan,Bgy
12905020,Nagsincaoan,Bgy
12905021,Namruangan,Bgy
12905022,Pila,Bgy
12905023,Pug-os,Bgy
12905024,Quezon (Pob.),Bgy
12905025,Reppaac,Bgy
12905026,Rizal (Pob.),Bgy
12905027,Sabang,Bgy
12905028,Sagayaden,Bgy
12905029,Salapasap,Bgy
12905030,Salomague,Bgy
12905031,Sisim,Bgy
12905032,Turod,Bgy
12905033,Turod-Patac,Bgy
12906000,CITY OF CANDON,City
12906001,Allangigan Primero,Bgy
12906002,Allangigan Segundo,Bgy
12906003,Amguid,Bgy
12906004,Ayudante,Bgy
12906005,Bagani Camposanto,Bgy
12906006,Bagani Gabor,Bgy
12906007,Bagani Tocgo,Bgy
12906008,Bagani Ubbog,Bgy
12906009,Bagar,Bgy
12906010,Balingaoan,Bgy
12906015,Bugnay,Bgy
12906016,Calaoaan,Bgy
12906017,Calongbuyan,Bgy
12906018,Caterman,Bgy
12906019,Cubcubboot,Bgy
12906020,Darapidap,Bgy
12906022,Langlangca Primero,Bgy
12906023,Langlangca Segundo,Bgy
12906024,Oaig-Daya,Bgy
12906025,Palacapac,Bgy
12906026,Paras,Bgy
12906027,Parioc Primero,Bgy
12906028,Parioc Segundo,Bgy
12906029,Patpata Primero,Bgy
12906030,Patpata Segundo,Bgy
12906031,Paypayad,Bgy
12906032,Salvador Primero,Bgy
12906033,Salvador Segundo,Bgy
12906034,San Agustin,Bgy
12906035,San Andres,Bgy
12906036,San Antonio (Pob.),Bgy
12906037,San Isidro (Pob.),Bgy
12906038,San Jose (Pob.),Bgy
12906039,San Juan (Pob.),Bgy
12906040,San Nicolas,Bgy
12906041,San Pedro,Bgy
12906042,Santo Tomas,Bgy
12906043,Tablac,Bgy
12906044,Talogtog,Bgy
12906045,Tamurong Primero,Bgy
12906046,Tamurong Segundo,Bgy
12906048,Villarica,Bgy
12907000,CAOAYAN,Mun
12907001,Anonang Mayor,Bgy
12907002,Anonang Menor,Bgy
12907003,Baggoc,Bgy
12907004,Callaguip,Bgy
12907005,Caparacadan,Bgy
12907006,Fuerte,Bgy
12907007,Manangat,Bgy
12907008,Naguilian,Bgy
12907009,Nansuagao,Bgy
12907010,Pandan,Bgy
12907011,Pantay-Quitiquit,Bgy
12907012,Don Dimas Querubin (Pob.),Bgy
12907013,Puro,Bgy
12907014,Pantay Tamurong,Bgy
12907015,Villamar,Bgy
12907016,Don Alejandro Quirolgico (Pob.),Bgy
12907017,Don Lorenzo Querubin (Pob.),Bgy
12908000,CERVANTES,Mun
12908001,Aluling,Bgy
12908002,Comillas North,Bgy
12908003,Comillas South,Bgy
12908004,Concepcion (Pob.),Bgy
12908005,Dinwede East,Bgy
12908006,Dinwede West,Bgy
12908007,Libang,Bgy
12908010,Pilipil,Bgy
12908013,Remedios,Bgy
12908014,Rosario (Pob.),Bgy
12908015,San Juan,Bgy
12908016,San Luis,Bgy
12908017,Malaya,Bgy
12909000,GALIMUYOD,Mun
12909001,Abaya,Bgy
12909002,Baracbac,Bgy
12909003,Bidbiday,Bgy
12909004,Bitong,Bgy
12909005,Borobor,Bgy
12909006,Calimugtong,Bgy
